,latitude,longitude,surface_temperature_forecast,actual,2m_temperature_forecast
02-01-2017 00:00,51,11.5,-3,-2.28,-1.9400024
02-01-2017 06:00,51,11.5,-1.6000061,-0.51,-1.230011
02-01-2017 12:00,51,11.5,0.5,1.37,0.47000122
02-01-2017 18:00,51,11.5,-3.7000122,-0.08,-2.7399902
03-01-2017 00:00,51,11.5,-2.7999878,-0.01,-2.019989
03-01-2017 06:00,51,11.5,-1.5,0.84,-1.1000061
03-01-2017 12:00,51,11.5,2.5,2.43,2.6600342
03-01-2017 18:00,51,11.5,0.8999939,1.59,1.5
04-01-2017 00:00,51,11.5,2,2.67,2.769989
04-01-2017 06:00,51,11.5,2.2999878,3.13,2.9899902
04-01-2017 12:00,51,11.5,1.8999939,3.3,2.4599915
04-01-2017 18:00,51,11.5,-1.2000122,1.67,-0.29000854
05-01-2017 00:00,51,11.5,-4.700012,-0.77,-4.1099854
05-01-2017 06:00,51,11.5,-4,-2.72,-3.7200012
05-01-2017 12:00,51,11.5,-2.5,-3.05,-2.9500122
05-01-2017 18:00,51,11.5,-5.100006,-5.79,-4.9299927
06-01-2017 00:00,51,11.5,-9.600006,-7.82,-8.900024
06-01-2017 06:00,51,11.5,-10.100006,-9.47,-9.450012
06-01-2017 12:00,51,11.5,-5.100006,-5.17,-6.269989
06-01-2017 18:00,51,11.5,-10.399994,-9.63,-9.160004
07-01-2017 00:00,51,11.5,-11.5,-13.58,-10.450012
07-01-2017 06:00,51,11.5,-10.200012,-11.4,-9.73999
07-01-2017 12:00,51,11.5,-5.399994,-4.45,-5.5899963
07-01-2017 18:00,51,11.5,-5.299988,-5.26,-5.269989
08-01-2017 00:00,51,11.5,-3.7000122,-5.12,-3.519989
08-01-2017 06:00,51,11.5,-1.2999878,-1.66,-1.0499878
08-01-2017 12:00,51,11.5,0.6000061,0.27,0.6300049
08-01-2017 18:00,51,11.5,-1,0.07,-0.32998657
09-01-2017 00:00,51,11.5,-1.5,-0.33,-1
09-01-2017 06:00,51,11.5,-6.399994,-0.53,-4.5299683
09-01-2017 12:00,51,11.5,0.2000122,0.09,0.14001465
09-01-2017 18:00,51,11.5,-3,-0.87,-2.5899963
10-01-2017 00:00,51,11.5,-3.5,-0.42,-2.8199768
10-01-2017 06:00,51,11.5,-5,-1.3,-4.019989
10-01-2017 12:00,51,11.5,-2.100006,0.82,-2.100006
10-01-2017 18:00,51,11.5,-8.799988,-2.6,-7.1799927
11-01-2017 00:00,51,11.5,-9,-2.39,-7.6900024
11-01-2017 06:00,51,11.5,-5.600006,-1.77,-5.3299866
11-01-2017 12:00,51,11.5,-0.2999878,-1.1,0.17001343
11-01-2017 18:00,51,11.5,0.7999878,1.28,1.8599854
12-01-2017 00:00,51,11.5,0.5,3.73,1.3900146
12-01-2017 06:00,51,11.5,0,3.09,0.8999939
12-01-2017 12:00,51,11.5,0.8999939,4.92,1.5
12-01-2017 18:00,51,11.5,-0.3999939,2.93,0.3999939
13-01-2017 00:00,51,11.5,0.3999939,1.54,1.3399963
13-01-2017 06:00,51,11.5,0.8999939,2.43,2.1700134
13-01-2017 12:00,51,11.5,0.3999939,1.54,0.94000244
13-01-2017 18:00,51,11.5,-1.7999878,1.49,-1.0299988
14-01-2017 00:00,51,11.5,-2.100006,-0.33,-1.6700134
14-01-2017 06:00,51,11.5,0.3999939,1.67,1.0700073
14-01-2017 12:00,51,11.5,0.1000061,1.5,0.38000488
14-01-2017 18:00,51,11.5,-2.5,0.33,-1.6499939
15-01-2017 00:00,51,11.5,-4,0.21,-3.2499695
15-01-2017 06:00,51,11.5,-2.7000122,-0.52,-2.630005
